k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,0.7014474244359302,1,0,1.0,0.047619047619047616
2,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,0.5530376868096165,2,0,1.0,0.09523809523809523
3,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,0.5429829339143065,3,0,1.0,0.14285714285714285
4,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,0.5427350427350428,4,0,1.0,0.19047619047619047
5,EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,0.5333333333333333,5,0,1.0,0.23809523809523808
6,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003,0.5291005291005291,6,0,1.0,0.2857142857142857
7,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,0.5247863247863248,7,0,1.0,0.3333333333333333
8,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,0.522516835016835,8,0,1.0,0.38095238095238093
9,EU_AI_2024_removed/article-12/sent_0002,0.4968660968660969,9,0,1.0,0.42857142857142855
10,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,0.4715219421101774,10,0,1.0,0.47619047619047616
11,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,0.4477466977466978,11,0,1.0,0.5238095238095238
12,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,0.4444444444444444,12,0,1.0,0.5714285714285714
13,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,0.44312169312169314,13,0,1.0,0.6190476190476191
14,EU_AI_2024_removed/article-12/sent_0003,0.4366666666666667,14,0,1.0,0.6666666666666666
15,EU_AI_2024_removed/article-12/sent_0001,0.402020202020202,15,0,1.0,0.7142857142857143
16,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0004,0.3962962962962963,16,0,1.0,0.7619047619047619
17,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,0.39337231968810915,17,0,1.0,0.8095238095238095
18,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,0.38395061728395063,18,0,1.0,0.8571428571428571
19,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001,0.3112874779541446,19,0,1.0,0.9047619047619048
20,EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001,0.1533161068044789,20,0,1.0,0.9523809523809523
