duplicate_rule_id	kept_rule_id
spans-passthrough-candidates/sent_0001-9376311c	spans-passthrough-candidates/sent_0001-b8e5df2f
spans-passthrough-candidates/sent_0002-5deddc14	spans-passthrough-candidates/sent_0002-3a014ff2
spans-passthrough-candidates/sent_0002-1ebb3cfd	spans-passthrough-candidates/sent_0002-3a014ff2
spans-passthrough-candidates/sent_0002-b6d603a4	spans-passthrough-candidates/sent_0002-3a014ff2
spans-passthrough-candidates/sent_0001-396b879b	spans-passthrough-candidates/sent_0001-2200653b
spans-passthrough-candidates/sent_0001-8fd22e6d	spans-passthrough-candidates/sent_0001-007bcc1e
spans-passthrough-candidates/sent_0001-335fd6ec	spans-passthrough-candidates/sent_0001-007bcc1e
spans-passthrough-candidates/sent_0003-08643dfc	spans-passthrough-candidates/sent_0003-0e497608
spans-passthrough-candidates/sent_0003-e3d926e3	spans-passthrough-candidates/sent_0003-0e497608
spans-passthrough-candidates/sent_0002-564213b1	spans-passthrough-candidates/sent_0002-0e8c2517
spans-passthrough-candidates/sent_0004-35e87ebc	spans-passthrough-candidates/sent_0004-797cb2cf
