kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-42555919	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001
spans-passthrough-candidates/sent_0002-7ec10960	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-3591f41d	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-064bd9f5	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-211aaa37	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-454ce848	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-8e351078	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0003-5ee5eef3	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-9bee1053	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-e23c3495	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-df8c5d9c	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-bbf732c6	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0001-9e763bba	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001
spans-passthrough-candidates/sent_0001-47119b62	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001
