kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-391a4ef8	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001
spans-passthrough-candidates/sent_0002-dadd2698	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-1bdffa48	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-998b3072	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-8b5e56f6	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-430e4e63	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-cfb0112c	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0003-a13b39c8	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-cccab99d	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-b56cd7af	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-62b3234d	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-da9ef286	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-04481a12	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0001-b4689875	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001
spans-passthrough-candidates/sent_0001-73ad3ba8	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001
spans-passthrough-candidates/sent_0001-80339667	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001
spans-passthrough-candidates/sent_0002-215d6421	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002
spans-passthrough-candidates/sent_0002-9b51d02f	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002
spans-passthrough-candidates/sent_0002-3ded2d63	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002
spans-passthrough-candidates/sent_0002-391af7a4	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002
spans-passthrough-candidates/sent_0003-5afce1df	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003
spans-passthrough-candidates/sent_0003-bd834d31	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003
spans-passthrough-candidates/sent_0003-99bde94a	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003
spans-passthrough-candidates/sent_0004-e9e2f3cf	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004
spans-passthrough-candidates/sent_0004-8ae881a8	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004
spans-passthrough-candidates/sent_0004-ed845c01	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004
spans-passthrough-candidates/sent_0004-c26420fc	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004
spans-passthrough-candidates/sent_0004-f79286fe	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004
spans-passthrough-candidates/sent_0001-7e00604f	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-28416235	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-94db42cb	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-3e27df6a	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-013c7ce1	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-204e7ad4	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0002-28a068e8	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002
