duplicate_rule_id	kept_rule_id
spans-passthrough-candidates/sent_0012-72b91b45	spans-passthrough-candidates/sent_0012-64b52b9b
spans-passthrough-candidates/sent_0003-e1d4b33c	spans-passthrough-candidates/sent_0003-91c60794
spans-passthrough-candidates/sent_0004-c5433b74	spans-passthrough-candidates/sent_0004-69da010a
spans-passthrough-candidates/sent_0004-01c2de75	spans-passthrough-candidates/sent_0005-75cbcf46
spans-passthrough-candidates/sent_0017-021a33dd	spans-passthrough-candidates/sent_0017-03b28e49
spans-passthrough-candidates/sent_0005-7fd81ac4	spans-passthrough-candidates/sent_0005-08d296b3
spans-passthrough-candidates/sent_0013-792c76c6	spans-passthrough-candidates/sent_0011-a3126985
spans-passthrough-candidates/sent_0012-f66b8b0a	spans-passthrough-candidates/sent_0012-28da988c
spans-passthrough-candidates/sent_0013-61f04c5f	spans-passthrough-candidates/sent_0013-5c26764b
spans-passthrough-candidates/sent_0010-4e89d1cc	spans-passthrough-candidates/sent_0010-99ea86fe
spans-passthrough-candidates/sent_0013-d185d267	spans-passthrough-candidates/sent_0013-c43922b7
spans-passthrough-candidates/sent_0003-0998a448	spans-passthrough-candidates/sent_0003-719bb69b
spans-passthrough-candidates/sent_0013-7bc93f55	spans-passthrough-candidates/sent_0013-2d890537
spans-passthrough-candidates/sent_0013-6d6b35f0	spans-passthrough-candidates/sent_0013-15bceb47
spans-passthrough-candidates/sent_0002-9113a4f1	spans-passthrough-candidates/sent_0002-0ff8014d
spans-passthrough-candidates/sent_0010-939db54a	spans-passthrough-candidates/sent_0010-6ed377c7
