duplicate_rule_id	kept_rule_id
spans-passthrough-candidates/sent_0010-c86d27cc	spans-passthrough-candidates/sent_0010-f798bb5b
spans-passthrough-candidates/sent_0012-5a05594d	spans-passthrough-candidates/sent_0012-5d6092db
spans-passthrough-candidates/sent_0013-f7783467	spans-passthrough-candidates/sent_0013-53562974
spans-passthrough-candidates/sent_0003-a7abb587	spans-passthrough-candidates/sent_0003-7a049993
spans-passthrough-candidates/sent_0019-2ab1bf14	spans-passthrough-candidates/sent_0019-f6fd0fc3
spans-passthrough-candidates/sent_0011-820bb039	spans-passthrough-candidates/sent_0011-f3bd3f53
spans-passthrough-candidates/sent_0011-f9d6b505	spans-passthrough-candidates/sent_0011-f3bd3f53
spans-passthrough-candidates/sent_0013-1d83bccf	spans-passthrough-candidates/sent_0011-f3bd3f53
spans-passthrough-candidates/sent_0011-bc6d1191	spans-passthrough-candidates/sent_0011-e9ca6ca8
spans-passthrough-candidates/sent_0013-2ec8872c	spans-passthrough-candidates/sent_0013-66b88db7
spans-passthrough-candidates/sent_0006-1b4e4551	spans-passthrough-candidates/sent_0006-4c4700fd
spans-passthrough-candidates/sent_0004-af803c77	spans-passthrough-candidates/sent_0004-9179a011
