duplicate_rule_id	kept_rule_id
spans-passthrough-candidates/sent_0001-61f5e6be	spans-passthrough-candidates/sent_0001-fc0ecaed
spans-passthrough-candidates/sent_0003-1e7a88de	spans-passthrough-candidates/sent_0003-d026e6e8
spans-passthrough-candidates/sent_0003-f2530360	spans-passthrough-candidates/sent_0003-f0cea312
spans-passthrough-candidates/sent_0003-bef2340c	spans-passthrough-candidates/sent_0003-cdb12948
spans-passthrough-candidates/sent_0001-d569e071	spans-passthrough-candidates/sent_0001-56ffa40d
spans-passthrough-candidates/sent_0001-65cf72c1	spans-passthrough-candidates/sent_0001-56ffa40d
spans-passthrough-candidates/sent_0003-fe107895	spans-passthrough-candidates/sent_0002-aa97a7ba
spans-passthrough-candidates/sent_0004-b980666b	spans-passthrough-candidates/sent_0002-56de78bc
spans-passthrough-candidates/sent_0002-19e578b7	spans-passthrough-candidates/sent_0002-4ab95e75
spans-passthrough-candidates/sent_0005-872d1598	spans-passthrough-candidates/sent_0005-186582b9
spans-passthrough-candidates/sent_0005-e5bd85da	spans-passthrough-candidates/sent_0005-186582b9
spans-passthrough-candidates/sent_0005-3bec9084	spans-passthrough-candidates/sent_0005-186582b9
spans-passthrough-candidates/sent_0005-ba9c5308	spans-passthrough-candidates/sent_0005-3b213781
spans-passthrough-candidates/sent_0005-42d42bd1	spans-passthrough-candidates/sent_0005-bfac9e69
spans-passthrough-candidates/sent_0005-d4ee8cdb	spans-passthrough-candidates/sent_0005-9ea130b7
spans-passthrough-candidates/sent_0005-50452236	spans-passthrough-candidates/sent_0005-9ea130b7
spans-passthrough-candidates/sent_0001-c7bb45c5	spans-passthrough-candidates/sent_0001-af343ce6
spans-passthrough-candidates/sent_0001-eecc7cc5	spans-passthrough-candidates/sent_0001-7454d1a1
spans-passthrough-candidates/sent_0001-281e96ff	spans-passthrough-candidates/sent_0001-68976a51
spans-passthrough-candidates/sent_0002-a6aa525f	spans-passthrough-candidates/sent_0002-955754b7
spans-passthrough-candidates/sent_0003-3406b8c5	spans-passthrough-candidates/sent_0002-595f8247
spans-passthrough-candidates/sent_0002-b3d090aa	spans-passthrough-candidates/sent_0002-12754d56
spans-passthrough-candidates/sent_0002-fa5e43cf	spans-passthrough-candidates/sent_0002-12754d56
spans-passthrough-candidates/sent_0002-946c3348	spans-passthrough-candidates/sent_0002-7b0f8cf4
spans-passthrough-candidates/sent_0003-c21ad369	spans-passthrough-candidates/sent_0003-4912ecc3
spans-passthrough-candidates/sent_0005-5cf7d9de	spans-passthrough-candidates/sent_0005-dfe532ae
spans-passthrough-candidates/sent_0002-39fe24be	spans-passthrough-candidates/sent_0002-7aeb2056
spans-passthrough-candidates/sent_0003-af5d6217	spans-passthrough-candidates/sent_0003-5a0fb382
spans-passthrough-candidates/sent_0003-45ba27cd	spans-passthrough-candidates/sent_0003-1fe14e8e
spans-passthrough-candidates/sent_0002-016466a8	spans-passthrough-candidates/sent_0002-c729afa2
spans-passthrough-candidates/sent_0005-851bbd0e	spans-passthrough-candidates/sent_0004-e45e5738
spans-passthrough-candidates/sent_0001-4be725f9	spans-passthrough-candidates/sent_0001-bd98d82c
spans-passthrough-candidates/sent_0001-ed09be4f	spans-passthrough-candidates/sent_0001-bd98d82c
spans-passthrough-candidates/sent_0001-99fd9c7e	spans-passthrough-candidates/sent_0001-bd98d82c
spans-passthrough-candidates/sent_0001-4ee06cf3	spans-passthrough-candidates/sent_0001-19592e42
spans-passthrough-candidates/sent_0001-12153d98	spans-passthrough-candidates/sent_0001-11c5c68e
spans-passthrough-candidates/sent_0001-940f5c91	spans-passthrough-candidates/sent_0001-11c5c68e
spans-passthrough-candidates/sent_0003-ea0a8621	spans-passthrough-candidates/sent_0003-4ab6ffbf
spans-passthrough-candidates/sent_0003-a2f4c945	spans-passthrough-candidates/sent_0003-41314154
spans-passthrough-candidates/sent_0002-89ecd4ee	spans-passthrough-candidates/sent_0002-36896797
spans-passthrough-candidates/sent_0002-200460ce	spans-passthrough-candidates/sent_0002-36896797
spans-passthrough-candidates/sent_0003-293298f3	spans-passthrough-candidates/sent_0003-1bc1817e
spans-passthrough-candidates/sent_0004-c9ddc00f	spans-passthrough-candidates/sent_0004-ddb80f30
spans-passthrough-candidates/sent_0004-752a8918	spans-passthrough-candidates/sent_0004-bc412740
spans-passthrough-candidates/sent_0004-24165c6a	spans-passthrough-candidates/sent_0003-1e34b193
spans-passthrough-candidates/sent_0004-36199e2a	spans-passthrough-candidates/sent_0003-77b288f2
spans-passthrough-candidates/sent_0004-475b075f	spans-passthrough-candidates/sent_0004-308eb945
spans-passthrough-candidates/sent_0004-c30f12fe	spans-passthrough-candidates/sent_0004-fb36833b
spans-passthrough-candidates/sent_0004-cf52eeb7	spans-passthrough-candidates/sent_0005-c49750f9
spans-passthrough-candidates/sent_0007-8b88ce24	spans-passthrough-candidates/sent_0007-6ad640d0
spans-passthrough-candidates/sent_0002-4da2d446	spans-passthrough-candidates/sent_0002-d76d3917
spans-passthrough-candidates/sent_0002-081bfcd4	spans-passthrough-candidates/sent_0002-d76d3917
spans-passthrough-candidates/sent_0006-920f2fa8	spans-passthrough-candidates/sent_0006-dde7c8c2
spans-passthrough-candidates/sent_0002-83b3e990	spans-passthrough-candidates/sent_0002-613e06d7
spans-passthrough-candidates/sent_0002-af3e89d7	spans-passthrough-candidates/sent_0002-ff671cd7
