duplicate_rule_id	kept_rule_id
spans-passthrough-candidates/sent_0003-bef2340c	spans-passthrough-candidates/sent_0003-cdb12948
spans-passthrough-candidates/sent_0003-f2530360	spans-passthrough-candidates/sent_0003-f0cea312
spans-passthrough-candidates/sent_0003-1e7a88de	spans-passthrough-candidates/sent_0003-d026e6e8
spans-passthrough-candidates/sent_0001-9bee86b1	spans-passthrough-candidates/sent_0001-b52569e7
spans-passthrough-candidates/sent_0001-b10e8489	spans-passthrough-candidates/sent_0001-b52569e7
spans-passthrough-candidates/sent_0003-b15297a4	spans-passthrough-candidates/sent_0002-423b2d26
spans-passthrough-candidates/sent_0005-d028bc2b	spans-passthrough-candidates/sent_0005-f9c33126
spans-passthrough-candidates/sent_0003-02c43097	spans-passthrough-candidates/sent_0003-ee15cabd
spans-passthrough-candidates/sent_0003-0fd9c807	spans-passthrough-candidates/sent_0003-ee15cabd
spans-passthrough-candidates/sent_0004-9eced1a9	spans-passthrough-candidates/sent_0004-144a3053
spans-passthrough-candidates/sent_0005-801df192	spans-passthrough-candidates/sent_0005-eb783cfc
spans-passthrough-candidates/sent_0005-7e2dd5f3	spans-passthrough-candidates/sent_0005-8d49bee6
spans-passthrough-candidates/sent_0005-7e00bb0a	spans-passthrough-candidates/sent_0005-a01a1bd5
spans-passthrough-candidates/sent_0005-a3451e5b	spans-passthrough-candidates/sent_0005-a01a1bd5
spans-passthrough-candidates/sent_0005-9a129fab	spans-passthrough-candidates/sent_0005-a01a1bd5
spans-passthrough-candidates/sent_0001-d7091beb	spans-passthrough-candidates/sent_0001-ac3114d8
spans-passthrough-candidates/sent_0001-7ac302dc	spans-passthrough-candidates/sent_0001-95bad68b
spans-passthrough-candidates/sent_0001-1ae54326	spans-passthrough-candidates/sent_0001-18d60332
spans-passthrough-candidates/sent_0002-42c2fa2b	spans-passthrough-candidates/sent_0002-490820ce
spans-passthrough-candidates/sent_0003-66decbd2	spans-passthrough-candidates/sent_0003-c5bd6cdc
spans-passthrough-candidates/sent_0003-63c7c019	spans-passthrough-candidates/sent_0003-c5bd6cdc
spans-passthrough-candidates/sent_0003-a59e624d	spans-passthrough-candidates/sent_0003-c5bd6cdc
spans-passthrough-candidates/sent_0005-5def2250	spans-passthrough-candidates/sent_0003-ccb0253e
spans-passthrough-candidates/sent_0002-fd334d27	spans-passthrough-candidates/sent_0002-1fe261af
spans-passthrough-candidates/sent_0002-95ca4e08	spans-passthrough-candidates/sent_0002-1fe261af
spans-passthrough-candidates/sent_0002-ee94cd1d	spans-passthrough-candidates/sent_0002-969eb78b
spans-passthrough-candidates/sent_0002-dc582368	spans-passthrough-candidates/sent_0002-2b309523
spans-passthrough-candidates/sent_0002-eac70944	spans-passthrough-candidates/sent_0002-2b309523
spans-passthrough-candidates/sent_0005-96b5c60b	spans-passthrough-candidates/sent_0005-e9667c62
spans-passthrough-candidates/sent_0007-b8444d3e	spans-passthrough-candidates/sent_0007-cc9fc9cb
spans-passthrough-candidates/sent_0002-97e87095	spans-passthrough-candidates/sent_0002-5fcc9b5c
spans-passthrough-candidates/sent_0004-6765244f	spans-passthrough-candidates/sent_0004-7819b65f
spans-passthrough-candidates/sent_0004-cbd1fcd3	spans-passthrough-candidates/sent_0004-8cc7cc8a
spans-passthrough-candidates/sent_0002-b145d819	spans-passthrough-candidates/sent_0002-2cf034f8
spans-passthrough-candidates/sent_0004-2b44512e	spans-passthrough-candidates/sent_0003-f481b21f
spans-passthrough-candidates/sent_0004-9dc0b88b	spans-passthrough-candidates/sent_0005-75f30380
spans-passthrough-candidates/sent_0002-c674a033	spans-passthrough-candidates/sent_0002-efc347d1
spans-passthrough-candidates/sent_0002-3a50d203	spans-passthrough-candidates/sent_0002-813d426c
spans-passthrough-candidates/sent_0001-0c84d4a8	spans-passthrough-candidates/sent_0001-caa40d84
spans-passthrough-candidates/sent_0001-a637c008	spans-passthrough-candidates/sent_0001-caa40d84
spans-passthrough-candidates/sent_0001-13aef822	spans-passthrough-candidates/sent_0001-caa40d84
spans-passthrough-candidates/sent_0003-9cab64db	spans-passthrough-candidates/sent_0003-76f5be67
spans-passthrough-candidates/sent_0007-20e58cd9	spans-passthrough-candidates/sent_0007-2d6fe119
spans-passthrough-candidates/sent_0001-0b260dec	spans-passthrough-candidates/sent_0001-c16ae6bc
spans-passthrough-candidates/sent_0001-71939da4	spans-passthrough-candidates/sent_0001-c16ae6bc
spans-passthrough-candidates/sent_0002-91cbb2cd	spans-passthrough-candidates/sent_0002-015fbba4
spans-passthrough-candidates/sent_0004-a93d4ba7	spans-passthrough-candidates/sent_0004-c758045b
spans-passthrough-candidates/sent_0007-be33857f	spans-passthrough-candidates/sent_0007-47cee91b
spans-passthrough-candidates/sent_0003-c2feb8f4	spans-passthrough-candidates/sent_0003-869f458a
spans-passthrough-candidates/sent_0003-0064f0e0	spans-passthrough-candidates/sent_0003-0806b954
spans-passthrough-candidates/sent_0003-d2d6f8e9	spans-passthrough-candidates/sent_0003-5ac76e2d
spans-passthrough-candidates/sent_0004-7f27002a	spans-passthrough-candidates/sent_0004-ce3984f7
spans-passthrough-candidates/sent_0006-570502aa	spans-passthrough-candidates/sent_0006-5a483d10
spans-passthrough-candidates/sent_0001-69fe2b9c	spans-passthrough-candidates/sent_0001-9156f3d6
spans-passthrough-candidates/sent_0001-d3a2b508	spans-passthrough-candidates/sent_0001-9156f3d6
spans-passthrough-candidates/sent_0002-62811c6e	spans-passthrough-candidates/sent_0002-381d4f30
spans-passthrough-candidates/sent_0003-8981f160	spans-passthrough-candidates/sent_0003-f929efe2
spans-passthrough-candidates/sent_0003-8adbbf06	spans-passthrough-candidates/sent_0003-c53bd0b8
