duplicate_rule_id	kept_rule_id
spans-passthrough-candidates/sent_0003-c26fbc02	spans-passthrough-candidates/sent_0003-50f01ae7
spans-passthrough-candidates/sent_0003-0c8a68ca	spans-passthrough-candidates/sent_0003-abba01e6
spans-passthrough-candidates/sent_0003-d307efcb	spans-passthrough-candidates/sent_0003-0db16863
spans-passthrough-candidates/sent_0001-92985eea	spans-passthrough-candidates/sent_0001-8d2c1f30
spans-passthrough-candidates/sent_0003-b0522225	spans-passthrough-candidates/sent_0002-620e2f3e
spans-passthrough-candidates/sent_0005-8a1a0d2b	spans-passthrough-candidates/sent_0005-af8f99be
spans-passthrough-candidates/sent_0005-b7782359	spans-passthrough-candidates/sent_0005-af8f99be
spans-passthrough-candidates/sent_0004-5021f617	spans-passthrough-candidates/sent_0004-13b7c108
spans-passthrough-candidates/sent_0005-8438fb08	spans-passthrough-candidates/sent_0005-becbbc0b
spans-passthrough-candidates/sent_0005-8143c60e	spans-passthrough-candidates/sent_0005-becbbc0b
spans-passthrough-candidates/sent_0001-657b1438	spans-passthrough-candidates/sent_0001-e2476063
spans-passthrough-candidates/sent_0002-de4c1951	spans-passthrough-candidates/sent_0002-e1de42f5
spans-passthrough-candidates/sent_0003-19fca482	spans-passthrough-candidates/sent_0002-dfad8774
spans-passthrough-candidates/sent_0005-73293c1b	spans-passthrough-candidates/sent_0005-6959e799
spans-passthrough-candidates/sent_0001-a293f7fb	spans-passthrough-candidates/sent_0001-275e917a
spans-passthrough-candidates/sent_0001-2c19a793	spans-passthrough-candidates/sent_0001-275e917a
spans-passthrough-candidates/sent_0002-4aa035cc	spans-passthrough-candidates/sent_0002-85d73652
spans-passthrough-candidates/sent_0007-3b19b907	spans-passthrough-candidates/sent_0007-b3004c39
spans-passthrough-candidates/sent_0002-c5de7ba3	spans-passthrough-candidates/sent_0002-e19c7ef3
spans-passthrough-candidates/sent_0004-328391c7	spans-passthrough-candidates/sent_0004-9b756b3a
spans-passthrough-candidates/sent_0004-af0cbfbd	spans-passthrough-candidates/sent_0004-4d888170
spans-passthrough-candidates/sent_0002-3d69127a	spans-passthrough-candidates/sent_0002-271d1dfd
spans-passthrough-candidates/sent_0004-5e2c8af0	spans-passthrough-candidates/sent_0004-5d0e1f1d
spans-passthrough-candidates/sent_0004-16abd394	spans-passthrough-candidates/sent_0004-360ed1cc
spans-passthrough-candidates/sent_0005-851bbd0e	spans-passthrough-candidates/sent_0004-360ed1cc
spans-passthrough-candidates/sent_0004-6ffa145e	spans-passthrough-candidates/sent_0004-698f7f0a
spans-passthrough-candidates/sent_0005-90de4bfa	spans-passthrough-candidates/sent_0004-698f7f0a
spans-passthrough-candidates/sent_0001-c700c960	spans-passthrough-candidates/sent_0001-26b9d761
spans-passthrough-candidates/sent_0001-e6658fd5	spans-passthrough-candidates/sent_0001-1129c05e
spans-passthrough-candidates/sent_0001-a25f100e	spans-passthrough-candidates/sent_0001-89c4e472
spans-passthrough-candidates/sent_0002-4a1df50e	spans-passthrough-candidates/sent_0002-6f250bf2
spans-passthrough-candidates/sent_0004-30ca0346	spans-passthrough-candidates/sent_0004-133f5a27
spans-passthrough-candidates/sent_0004-36423cb9	spans-passthrough-candidates/sent_0004-fa9e60d6
spans-passthrough-candidates/sent_0003-e4a796f0	spans-passthrough-candidates/sent_0003-7bcc7268
spans-passthrough-candidates/sent_0007-fad96d37	spans-passthrough-candidates/sent_0007-de813705
spans-passthrough-candidates/sent_0006-48d3a4b4	spans-passthrough-candidates/sent_0006-68aa2206
