kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-e16f5ea9	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001
spans-passthrough-candidates/sent_0001-efdbd2ed	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001
spans-passthrough-candidates/sent_0002-a0ed1f32	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002
spans-passthrough-candidates/sent_0002-7e15cae8	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002
spans-passthrough-candidates/sent_0003-50f01ae7	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-c26fbc02	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-abba01e6	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-0c8a68ca	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-0db16863	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-d307efcb	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0001-cbd73318	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0001-8d2c1f30	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0001-92985eea	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0002-9ad37d04	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002
spans-passthrough-candidates/sent_0002-620e2f3e	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002
spans-passthrough-candidates/sent_0002-620e2f3e	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0002-e607f1ea	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002
spans-passthrough-candidates/sent_0003-7bf2bba1	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0003-b0522225	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0003-53653fe8	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0001-87c5e4fd	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001
spans-passthrough-candidates/sent_0002-271d1dfd	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-3d69127a	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-0879065c	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-c09f2dd1	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-f3dd4f9b	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-a27f5ba4	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-22157f29	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0003-b7814d9a	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003
spans-passthrough-candidates/sent_0003-7b901a2e	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003
spans-passthrough-candidates/sent_0003-f3e6755a	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003
spans-passthrough-candidates/sent_0004-6ce48d5f	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004
