duplicate_rule_id	kept_rule_id
spans-passthrough-candidates/sent_0001-e07c2e1d	spans-passthrough-candidates/sent_0001-9155a42b
spans-passthrough-candidates/sent_0001-42893167	spans-passthrough-candidates/sent_0001-9155a42b
spans-passthrough-candidates/sent_0002-572863aa	spans-passthrough-candidates/sent_0002-978daecc
spans-passthrough-candidates/sent_0002-c48b7c1f	spans-passthrough-candidates/sent_0002-978daecc
spans-passthrough-candidates/sent_0002-8001b94f	spans-passthrough-candidates/sent_0002-978daecc
spans-passthrough-candidates/sent_0004-c217a001	spans-passthrough-candidates/sent_0005-427fe04b
spans-passthrough-candidates/sent_0004-67402b86	spans-passthrough-candidates/sent_0005-427fe04b
spans-passthrough-candidates/sent_0004-9921a4ec	spans-passthrough-candidates/sent_0005-427fe04b
spans-passthrough-candidates/sent_0005-22ebc471	spans-passthrough-candidates/sent_0005-addd323c
spans-passthrough-candidates/sent_0002-604018f1	spans-passthrough-candidates/sent_0002-6d6fc34e
spans-passthrough-candidates/sent_0004-2d0e8823	spans-passthrough-candidates/sent_0004-69e13343
spans-passthrough-candidates/sent_0005-ec569138	spans-passthrough-candidates/sent_0005-59a20598
spans-passthrough-candidates/sent_0003-90fdbb07	spans-passthrough-candidates/sent_0003-f1a77ed8
spans-passthrough-candidates/sent_0009-93640847	spans-passthrough-candidates/sent_0009-cc2ed59c
spans-passthrough-candidates/sent_0010-4fc8cf7b	spans-passthrough-candidates/sent_0010-0984545b
spans-passthrough-candidates/sent_0009-d489d30e	spans-passthrough-candidates/sent_0010-0984545b
spans-passthrough-candidates/sent_0011-27181922	spans-passthrough-candidates/sent_0011-5f01a348
spans-passthrough-candidates/sent_0011-262672b7	spans-passthrough-candidates/sent_0011-5f01a348
spans-passthrough-candidates/sent_0006-67baec95	spans-passthrough-candidates/sent_0006-17d5af97
spans-passthrough-candidates/sent_0002-2b921134	spans-passthrough-candidates/sent_0002-04096553
spans-passthrough-candidates/sent_0004-cafacd4b	spans-passthrough-candidates/sent_0004-310d51af
spans-passthrough-candidates/sent_0005-8f67924d	spans-passthrough-candidates/sent_0005-613d7a82
spans-passthrough-candidates/sent_0005-e4d7b496	spans-passthrough-candidates/sent_0005-613d7a82
spans-passthrough-candidates/sent_0005-76000748	spans-passthrough-candidates/sent_0005-613d7a82
spans-passthrough-candidates/sent_0001-5ec991b9	spans-passthrough-candidates/sent_0001-4eb67fac
spans-passthrough-candidates/sent_0001-9e0ccb99	spans-passthrough-candidates/sent_0001-b42092ce
spans-passthrough-candidates/sent_0001-b9d18ee1	spans-passthrough-candidates/sent_0001-4e6ccb60
spans-passthrough-candidates/sent_0001-97f4899d	spans-passthrough-candidates/sent_0001-4e6ccb60
spans-passthrough-candidates/sent_0005-a49c9ff9	spans-passthrough-candidates/sent_0005-0ac21ded
spans-passthrough-candidates/sent_0001-0b7673f6	spans-passthrough-candidates/sent_0001-2f747a47
spans-passthrough-candidates/sent_0008-f4ca6f6d	spans-passthrough-candidates/sent_0008-5e647c19
