kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-5d397ba4	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-98b1af02	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-92d94519	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-179bd568	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-73f4201c	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-afaf9a5d	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0002-01312df1	NIST AI RMF profiles_removed/gv-6-2-003/sent_0002
spans-passthrough-candidates/sent_0002-e04c3110	NIST AI RMF profiles_removed/gv-6-2-003/sent_0002
spans-passthrough-candidates/sent_0002-2c1f2e4f	NIST AI RMF profiles_removed/gv-6-2-003/sent_0002
spans-passthrough-candidates/sent_0002-297dd1b2	NIST AI RMF profiles_removed/gv-6-2-003/sent_0002
spans-passthrough-candidates/sent_0001-9f7b1d37	NIST AI RMF profiles_removed/mp-1-1-002/sent_0001
spans-passthrough-candidates/sent_0001-72f53a02	NIST AI RMF profiles_removed/mp-1-1-002/sent_0001
spans-passthrough-candidates/sent_0001-5e265f65	NIST AI RMF profiles_removed/mp-1-1-002/sent_0001
spans-passthrough-candidates/sent_0001-67d1734b	NIST AI RMF profiles_removed/mp-1-1-002/sent_0001
spans-passthrough-candidates/sent_0001-6fb69975	NIST AI RMF profiles_removed/mp-1-1-002/sent_0001
spans-passthrough-candidates/sent_0002-8f465edf	NIST AI RMF profiles_removed/mp-1-1-002/sent_0002
spans-passthrough-candidates/sent_0002-fd4c1fc9	NIST AI RMF profiles_removed/mp-1-1-002/sent_0002
spans-passthrough-candidates/sent_0002-956caa19	NIST AI RMF profiles_removed/mp-1-1-002/sent_0002
