kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-172f13f3	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-f5191b6f	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-38363cbd	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-aa90196d	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-30bf6ea3	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0001-69d22e39	NIST AI RMF profiles_removed/gv-6-2-003/sent_0001
spans-passthrough-candidates/sent_0002-632d6d21	NIST AI RMF profiles_removed/gv-6-2-003/sent_0002
spans-passthrough-candidates/sent_0002-0a09fd97	NIST AI RMF profiles_removed/gv-6-2-003/sent_0002
spans-passthrough-candidates/sent_0002-11a14b2c	NIST AI RMF profiles_removed/gv-6-2-003/sent_0002
spans-passthrough-candidates/sent_0002-ac5bcd5a	NIST AI RMF profiles_removed/gv-6-2-003/sent_0002
spans-passthrough-candidates/sent_0002-2c96caa3	NIST AI RMF profiles_removed/gv-6-2-003/sent_0002
spans-passthrough-candidates/sent_0001-af480ab8	NIST AI RMF profiles_removed/mp-1-1-002/sent_0001
spans-passthrough-candidates/sent_0001-0744eef1	NIST AI RMF profiles_removed/mp-1-1-002/sent_0001
spans-passthrough-candidates/sent_0001-593df88c	NIST AI RMF profiles_removed/mp-1-1-002/sent_0001
spans-passthrough-candidates/sent_0002-35fc8d1d	NIST AI RMF profiles_removed/mp-1-1-002/sent_0002
spans-passthrough-candidates/sent_0002-4f2fd772	NIST AI RMF profiles_removed/mp-1-1-002/sent_0002
spans-passthrough-candidates/sent_0002-bb449cb1	NIST AI RMF profiles_removed/mp-1-1-002/sent_0002
spans-passthrough-candidates/sent_0002-e832e992	NIST AI RMF profiles_removed/mp-1-1-002/sent_0002
spans-passthrough-candidates/sent_0002-3e5fd4af	NIST AI RMF profiles_removed/mp-1-1-002/sent_0002
spans-passthrough-candidates/sent_0002-2db38ffe	NIST AI RMF profiles_removed/mp-1-1-002/sent_0002
spans-passthrough-candidates/sent_0001-17ca51e3	NIST AI RMF profiles_removed/map-2-1/sent_0001
spans-passthrough-candidates/sent_0001-48828ab2	NIST AI RMF profiles_removed/map-2-1/sent_0001
spans-passthrough-candidates/sent_0001-eb36ecca	NIST AI RMF profiles_removed/map-2-1/sent_0001
